ID,Priority,Area,Phase,Owner role,Status,Next acceptance check,Integration note
IMS-001,P0,Integrations,R0,Engineering,"Implemented, verify","Separate browser-session gates from endpoint authentication. Valid Stripe signatures, cron secrets and intake tokens must reach their handlers. Invalid credentials must fail without redirects.",Proxy allowlist and scoped program detail access implemented; deployed handler auth tests pending.
IMS-002,P0,Build,R0,Engineering,"Implemented, verify","Capture and check each database error. Run TypeScript and production build on the repaired commit, plus failure-path webhook tests.",Payment error bindings repaired; local build and webhook failure-path validation tracked separately.
IMS-003,P0,Billing,R0,Engineering,Open,"Implement durable event processing, unique payment identities and transactional plan/payment updates. Verify concurrent replay, partial failure, out-of-order invoice events and repeated partial refunds.",
IMS-004,P0,Balances,R0,Engineering,Open,"Make completion/undo one authorized database transaction keyed by session ID. Double-click, retry and concurrent requests must produce exactly one debit or reversal.",
IMS-005,P0,Programs,R0,Engineering,"Implemented, verify","Reconcile schema and API contract. Add/remove/reorder a draft exercise in staging, reload it and verify every prescription field persists. Evaluate PR #10 rather than merging blindly.",Live column mapping and draft picker integrated; authenticated CRUD verification pending.
IMS-006,P0,Database,R0,Engineering,Open,"Capture a reviewed schema baseline and subsequent migrations, regenerate types and rebuild a clean staging database. Compare policies, triggers, functions and storage settings with production.",
IMS-007,P1,Program access,R0,Engineering + Jason,"Implemented, verify","Preserve private coach notes separately. Confirm Jason/Gabe shared access requirements and apply one policy across add, remove, edit and publish. Published plans must resist accidental edits.",Trainer policy aligned; legacy private note input rejected; shared instructions labeled explicitly.
IMS-008,P1,Time zones,R0,Engineering,"Implemented, verify","Use one America/Los_Angeles date layer. Test both DST transitions, midnight, recurring generation and mobile display. Audit affected future occurrences before any correction.",Recurring DST conversion fixed and tested; dashboard date semantics still open.
IMS-009,P1,Scheduling,R0,Engineering + Jason,Open,"Enforce trainer and resource conflict rules transactionally for create, approve, move and recurrence. Define group-session exceptions explicitly. One of two conflicting concurrent requests must be rejected.",
IMS-010,P1,Reminders,R0,Engineering,Open,"Use a complete delivery window and retryable outbox with leases, provider IDs and failure recovery. Every eligible session gets one reminder; failed sends retry without duplicates.",
IMS-011,P0,Authorization,R0,Engineering,Open,"Use isolated owner, trainer, client A, client B and signed-out accounts. Prove private notes, assessments, drafts, PDFs, media and payments cannot cross roles/accounts. Test expired sessions and deleted staff.",
IMS-012,P0,Repository privacy,R0,Jason + Engineering,Open,"Classify these records immediately. If real, remove personal data from distributable source, review history/access and use synthetic fixtures. Rotate any exposed credentials if discovered.",
IMS-013,P1,Release control,R0,Engineering,"Implemented, verify","Create one integration branch from main. Select changes by feature, resolve overlaps and run local/CI gates before one preview. Respect current Vercel quota; record exact release SHA and deployment ID.",Unified release branch created; exact preview status and PR acceptance pending.
IMS-014,P1,Reproducible builds,R0,Engineering,"Implemented, verify","Commit a reviewed lockfile, use npm ci, fix lint and run production build in CI. Pin Python dependencies. Align runtime versions; protect main with required checks. Keep build output and secrets out of Git.","Lockfile, npm ci, build CI and working lint command added; existing lint debt remains."
IMS-015,P1,Authentication,R1,Engineering + Jason,Open,"Test password login, logout, expiry, invitation and reset in mobile email browsers. Enable each social button only after its provider and redirect URLs pass. Keep account provisioning invitation-controlled.",
IMS-016,P1,Public endpoint abuse,R1,Engineering,Open,"Add bounded reset/intake/lead throttling and request validation, preserve generic reset responses and review password controls. Confirm abuse attempts cannot exhaust email delivery.",
IMS-017,P1,Generator integration,R1,Engineering,Open,"Deploy compatible versions in isolated staging and verify contract/version, timeout, missing-secret rejection and PDF storage. Make generator auth fail closed in production. Record the endpoint used by each environment.",
IMS-018,P0,Exercise review,R2,Jason / qualified coach,Open,Keep automatic client release disabled. Complete qualified coach mapping/safety review and approved substitutions for the intended release set. Restricted or unverified cases must remain held for review.,
IMS-019,P1,Program release,R2,Engineering + Jason,Open,Verify assessment → draft → edit → regenerate → coach review → publish → client view. Client PDF must match the reviewed revision and exclude coach-only content. Test approval revocation.,
IMS-020,P1,Client actions,R2,Engineering,"Implemented, verify","Wire completion to an authorized, idempotent action with persisted feedback. Give clients a valid check-in request flow. Every visible primary action must work or be clearly unavailable.",Dead completion button replaced with homework link; reassessment now links to coach messaging.
IMS-021,P1,Design system,R1,Design + Engineering,"Implemented, verify","Adopt semantic surface/text/status tokens and one component specification. Apply it to buttons, forms, cards, lists, tables, dialogs and feedback. Review owner, trainer and client screens together.",Light design unified with recovered program studio; authenticated visual review pending.
